2022-05-20 11:26:05,013 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//span[contains(text(), '保存')])[1]")
2022-05-20 11:26:05,013 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//span[contains(text(), '保存')])[1]")
2022-05-20 11:26:05,067 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '取消')]")
2022-05-20 11:26:05,067 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '取消')]")
2022-05-20 11:26:06,205 INFO [root] [base.py (base_get_text:70] - 正在获取元素('xpath', "//p[contains(@class, 'el-message__content')]")的文本
2022-05-20 11:26:06,205 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//p[contains(@class, 'el-message__content')]")
2022-05-20 11:26:07,213 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//button/span[contains(text(), '导入')]")
2022-05-20 11:26:07,213 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//button/span[contains(text(), '导入')]")
2022-05-20 11:26:07,325 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '选取文件')]")
2022-05-20 11:26:07,326 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '选取文件')]")
2022-05-20 11:26:16,632 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//span[contains(text(), '导入')])[4]")
2022-05-20 11:26:16,632 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//span[contains(text(), '导入')])[4]")
2022-05-20 11:26:16,662 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//button[@class='el-dialog__headerbtn']")
2022-05-20 11:26:16,663 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//button[@class='el-dialog__headerbtn']")
2022-05-20 11:26:17,750 INFO [root] [base.py (base_get_text:70] - 正在获取元素('xpath', "//p[contains(@class, 'el-message__content')]")的文本
2022-05-20 11:26:17,750 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//p[contains(@class, 'el-message__content')]")
2022-05-20 11:26:19,779 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '导出')]")
2022-05-20 11:26:19,779 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '导出')]")
2022-05-20 11:26:19,819 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "((//span[contains(text(), '选择导出的列')])[1]/parent::label/span)[1]")
2022-05-20 11:26:19,819 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "((//span[contains(text(), '选择导出的列')])[1]/parent::label/span)[1]")
2022-05-20 11:26:20,435 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//button[contains(@class, 'el-transfer__button')])[2]")
2022-05-20 11:26:20,436 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//button[contains(@class, 'el-transfer__button')])[2]")
2022-05-20 11:26:20,490 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//span[contains(text(), '导出')])[5]")
2022-05-20 11:26:20,490 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//span[contains(text(), '导出')])[5]")
2022-05-20 11:26:26,574 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "//input[@placeholder='线索名称']")输入内容:藏品线索1
2022-05-20 11:26:26,574 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//input[@placeholder='线索名称']")
2022-05-20 11:26:26,606 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "//input[@placeholder='线索名称']")清空
2022-05-20 11:26:26,657 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "//input[@placeholder='线索名称']")输入内容:藏品线索1
